inventor_id,name,country
I001,Liam Wilson,Japan
I002,Mia Davis,Canada
I003,Olivia Thomas,India
I004,Ava Taylor,France
I005,Daniel Smith,Japan
I006,Chris Wilson,Australia
I007,Robert White,Japan
I008,Emily Thomas,Japan
I009,Mia Clark,Japan
I010,David Davis,UK
I011,Chris Johnson,Australia
I012,Sarah Thomas,Germany
I013,Grace Smith,USA
I014,James Williams,Canada
I015,Lucas Williams,India
I016,Mia Williams,Germany
I017,Robert Miller,Canada
I018,Grace Smith,UK
I019,Michael Brown,UK
I020,Alice Johnson,USA
I021,Michael Smith,Japan
I022,Robert Taylor,Japan
I023,John Brown,UK
I024,David Brown,France
I025,Ethan Johnson,India
I026,Ava Wilson,Japan
I027,Ethan Taylor,India
I028,Noah Moore,Germany
I029,Grace Smith,UK
I030,Noah Thomas,USA
I031,David Wilson,France
I032,Olivia Thomas,India
I033,Ava Lee,Australia
I034,Sarah Clark,India
I035,James Taylor,Canada
I036,Sarah Brown,UK
I037,Grace Thomas,Japan
I038,Liam Taylor,UK
I039,Noah Moore,France
I040,Emily Martin,India
I041,Mia Lee,Germany
I042,Olivia Wilson,Germany
I043,Olivia Miller,Australia
I044,Liam Davis,India
I045,James Davis,Japan
I046,Daniel Miller,Canada
I047,Ava Johnson,India
I048,Sarah Johnson,France
I049,Emily Lee,Japan
I050,Michael Moore,USA
I051,Lucas Moore,Japan
I052,Emily Davis,Japan
I053,Olivia White,USA
I054,Sophia Taylor,UK
I055,Emma Johnson,Germany
I056,Michael Thomas,Australia
I057,Robert White,India
I058,Emma White,Japan
I059,Emily Martin,UK
I060,Lucas Williams,France
I061,Mia Martin,USA
I062,Grace Clark,UK
I063,John Brown,UK
I064,Sophia Clark,Japan
I065,Emma Smith,Canada
I066,Michael Taylor,France
I067,Sarah Brown,USA
I068,Sarah Lee,Germany
I069,Liam Davis,Australia
I070,James Brown,Japan
I071,Sophia Lee,Japan
I072,Lucas Taylor,India
I073,David Brown,Canada
I074,Grace Smith,India
I075,Daniel Wilson,France
I076,Ava Taylor,Australia
I077,Olivia Jones,Germany
I078,Ethan Johnson,Japan
I079,Olivia Johnson,UK
I080,Lucas Wilson,UK
I081,David Williams,France
I082,Grace Smith,USA
I083,Chris Jones,Germany
I084,Michael Martin,UK
I085,Sophia Miller,India
I086,John Wilson,France
I087,Alice Brown,France
I088,Mia Lee,Germany
I089,Ethan Moore,Japan
I090,Sarah Davis,USA
I091,Olivia Smith,Australia
I092,Sarah White,Japan
I093,Lucas Davis,France
I094,Olivia Jones,India
I095,Liam Smith,Japan
I096,Alice Martin,Australia
I097,Emma Johnson,France
I098,Emily Williams,France
I099,Lucas Davis,India
I100,Liam White,UK
